Word,Length,Freq_HAL,Log_Freq_HAL
indecisiveness,14,23,3.135
indecorous,10,1,0
indecorum,9,0,0
indeed,6,43972,10.691
indefatigable,13,66,4.19
indefensible,12,350,5.858
indefinable,11,36,3.584
indefinite,10,1208,7.097
indefinitely,12,1319,7.185
indefiniteness,14,9,2.197
indefinity,10,0,0
indelible,9,685,6.529
indelibly,9,60,4.094
indelicacy,10,0,0
indelicate,10,18,2.89
indent,6,761,6.635
indentation,11,776,6.654
indentations,12,173,5.153
indenture,9,63,4.143
indentured,10,358,5.881
independence,12,8772,9.079
independent,11,31959,10.372
independently,13,4675,8.45
independents,12,852,6.748
indescribable,13,228,5.429
indestructible,14,1471,7.294
indeterminable,14,20,2.996
indeterminate,13,498,6.211
index,5,32443,10.387
indexes,7,3616,8.193
indexing,8,1666,7.418
India,5,28393,10.254
Indian,6,22576,10.025
Indiana,7,11421,9.343
Indianapolis,12,3793,8.241
Indiana's,9,53,3.97
Indians,7,7648,8.942
Indian's,8,76,4.331
India's,7,1892,7.545
indicate,8,22492,10.021
indicated,9,13785,9.531
indicates,9,13038,9.476
indicating,10,7027,8.858
indication,10,6980,8.851
indications,11,1822,7.508
indicative,10,1595,7.375
indicator,9,4346,8.377
indicators,10,2106,7.653
indices,7,1852,7.524
indict,6,191,5.252
indicted,8,1339,7.2
indictment,10,1419,7.258
indictments,11,422,6.045
Indies,6,2047,7.624
indifference,12,798,6.682
indifferent,11,946,6.852
indigence,9,11,2.398
indigenous,10,3716,8.22
indigent,8,213,5.361
indigestible,12,40,3.689
indigestion,11,219,5.389
indignant,9,368,5.908
indignantly,11,97,4.575
indignation,11,550,6.31
indignities,11,146,4.984
indignity,9,112,4.718
indigo,6,2671,7.89
indirect,8,2835,7.95
indirection,11,244,5.497
indirectly,10,2838,7.951
indirectness,12,5,1.609
indiscernible,13,12,2.485
indiscreet,10,71,4.263
indiscretion,12,309,5.733
indiscriminantly,16,27,3.296
indiscriminate,14,442,6.091
indiscriminating,16,3,1.099
indispensable,13,895,6.797
indispensible,13,219,5.389
indisposed,10,33,3.497
indisposition,13,13,2.565
indisputable,12,255,5.541
indisputably,12,141,4.949
indistinct,10,127,4.844
indistinguishable,17,1250,7.131
individual,10,65280,11.086
individualism,13,680,6.522
individualist,13,262,5.568
individualistic,15,238,5.472
individualists,14,114,4.736
individuality,13,1562,7.354
individualization,17,21,3.045
individualize,13,28,3.332
individualized,14,290,5.67
individualizing,15,14,2.639
individually,12,5330,8.581
individuals,11,40358,10.606
individual's,12,1842,7.519
individuation,13,51,3.932
indivisibility,14,66,4.19
indivisible,11,229,5.434
Indochina,9,363,5.894
indocile,8,0,0
indoctrinate,12,198,5.288
indoctrinated,13,401,5.994
indoctrinating,14,83,4.419
indoctrination,14,590,6.38
indolence,9,22,3.091
indolent,8,65,4.174
indolently,10,2,0.693
indomitable,11,120,4.787
Indonesia,9,5256,8.567
Indonesian,10,1755,7.47
indoor,6,3489,8.157
indoors,7,1604,7.38
indubitable,11,25,3.219
induce,6,1687,7.431
induced,7,2635,7.877
inducement,10,105,4.654
inducements,11,51,3.932
induces,7,458,6.127
inducing,8,625,6.438
induct,6,44,3.784
inducted,8,234,5.455
inductees,9,55,4.007
induction,9,1872,7.535
inductions,10,41,3.714
inductive,9,554,6.317
indulge,7,1490,7.307
indulged,8,271,5.602
indulgence,10,400,5.991
indulgences,11,143,4.963
indulgent,9,165,5.106
indulging,9,539,6.29
industrial,10,19750,9.891
industrialism,13,37,3.611
industrialist,13,330,5.799
industrialists,14,315,5.753
industrialization,17,294,5.684
industrialize,13,46,3.829
industrialized,14,1029,6.936
industrially,12,50,3.912
industries,10,10431,9.253
industrious,11,193,5.263
industry,8,56926,10.95
industry's,10,1050,6.957
indwelling,10,122,4.804
inebriate,9,8,2.079
inebriation,11,24,3.178
inedible,8,122,4.804
ineducable,10,5,1.609
ineffective,11,1687,7.431
ineffectively,13,32,3.466
ineffectiveness,15,107,4.673
ineffectual,11,353,5.866
inefficiency,12,445,6.098
inefficient,11,2315,7.747
inelastic,9,146,4.984
inelegance,10,6,1.792
inelegant,9,122,4.804
ineligible,10,549,6.308
inept,5,1017,6.925
ineptitude,10,255,5.541
ineptly,7,34,3.526
ineptness,9,74,4.304
inequality,10,1200,7.09
inequitable,11,99,4.595
inequity,8,256,5.545
ineradicable,12,17,2.833
inert,5,622,6.433
inertia,7,1241,7.124
inertial,8,827,6.718
inescapable,11,425,6.052
inescapably,11,32,3.466
inessential,11,49,3.892
inestimable,11,97,4.575
inevitabilities,15,9,2.197
inevitable,10,4867,8.49
inevitably,10,2592,7.86
inexact,7,157,5.056
inexcusable,11,355,5.872
inexhaustible,13,115,4.745
inexorable,10,150,5.011
inexorably,10,246,5.505
inexpensive,11,6576,8.791
inexperience,12,329,5.796
inexperienced,13,1459,7.286
inexpert,8,23,3.135
inexplicable,12,600,6.397
inexplicably,12,363,5.894
inexpressible,13,54,3.989
inexpressibly,13,4,1.386
inextinguishable,16,4,1.386
inextricable,12,21,3.045
infallible,10,611,6.415
infamous,8,3963,8.285
infamy,6,216,5.375
infancy,7,805,6.691
infant,6,9248,9.132
infanticide,11,219,5.389
infantile,9,522,6.258
infantilism,11,21,3.045
infantry,8,3829,8.25
infantryman,11,79,4.369
infantrymen,11,42,3.738
infants,7,2193,7.693
infant's,8,161,5.081
infarct,7,17,2.833
infarction,10,79,4.369
infatuate,9,1,0
infatuation,11,235,5.46
infect,6,1088,6.992
infected,8,5077,8.532
infection,9,9019,9.107
infections,10,2928,7.982
infectious,10,1514,7.323
infelicity,10,2,0.693
infer,5,1469,7.292
inference,9,1807,7.499
inferences,10,483,6.18
inferential,11,59,4.078
inferior,8,5490,8.611
inferiority,11,866,6.764
infernal,8,3102,8.04
infernally,10,10,2.303
inferno,7,2647,7.881
inferred,8,772,6.649
infertile,9,350,5.858
infertility,11,651,6.479
infest,6,132,4.883
infestation,11,351,5.861
infestations,12,234,5.455
infested,8,587,6.375
infidel,7,267,5.587
infidelity,10,245,5.501
infidels,8,280,5.635
infield,7,295,5.687
infielder,9,43,3.761
infighting,10,265,5.58
infiltrate,10,468,6.148
infiltrated,11,517,6.248
infiltrating,12,279,5.631
infiltration,12,558,6.324
infinite,8,11736,9.37
infinitely,10,2021,7.611
infinitesimal,13,334,5.811
infinitesimally,15,144,4.97
infinitive,10,122,4.804
infinity,8,4888,8.495
infirm,6,139,4.934
infirmary,9,223,5.407
infirmity,9,45,3.807
inflame,7,145,4.977
inflamed,8,380,5.94
inflammable,11,53,3.97
inflammation,12,664,6.498
inflammatory,12,1335,7.197
inflatable,10,450,6.109
inflate,7,609,6.412
inflated,8,1528,7.332
inflation,9,7076,8.864
inflect,7,23,3.135
inflected,9,49,3.892
inflecting,10,12,2.485
inflection,10,198,5.288
inflections,11,118,4.771
inflexible,10,408,6.011
inflict,7,1204,7.093
inflicted,9,1423,7.261
inflicting,10,560,6.328
infliction,10,200,5.298
inflorescence,13,7,1.946
inflow,6,247,5.509
influence,9,19809,9.894
influenced,10,4833,8.483
influences,10,4298,8.366
influencing,11,835,6.727
influent,8,40,3.689
influential,11,1872,7.535
influenza,9,763,6.637
influx,6,895,6.797
info,4,159678,11.981
inform,6,8985,9.103
informal,8,4028,8.301
informality,11,43,3.761
informally,10,502,6.219
informant,9,555,6.319
informants,10,293,5.68
information,11,467659,13.055
informational,13,3385,8.127
informative,11,5521,8.616
informed,8,15141,9.625
informer,8,866,6.764
informing,9,2146,7.671
informs,7,1111,7.013
infract,7,0,0
infraction,10,335,5.814
infrared,8,1867,7.532
infrastructure,14,6007,8.701
infrequency,11,10,2.303
infrequent,10,771,6.648
infringe,8,1137,7.036
infringement,12,2169,7.682
infringements,13,363,5.894
infuriate,9,67,4.205
infuriated,10,324,5.781
infuriating,11,278,5.628
infuriation,11,2,0.693
infuse,6,312,5.743
infusion,8,708,6.562
ingenious,9,703,6.555
ingeniously,11,50,3.912
ingenuity,9,666,6.501
ingenuous,9,73,4.29
ingest,6,678,6.519
ingested,8,402,5.996
ingestion,9,513,6.24
inglorious,10,19,2.944
ingoing,7,12,2.485
ingot,5,69,4.234
ingrain,7,11,2.398
ingratiate,10,46,3.829
ingratiating,12,37,3.611
ingratitude,11,29,3.367
ingredient,10,1927,7.564
ingredients,11,4971,8.511
ingrown,7,55,4.007
inhabit,7,609,6.412
inhabitable,11,29,3.367
inhabitant,10,212,5.357
inhabitants,11,2746,7.918
inhabitation,12,8,2.079
inhabited,9,1038,6.945
inhabiting,10,238,5.472
inhalation,10,292,5.677
inhale,6,857,6.753
inhaler,7,203,5.313
inhaling,8,439,6.084
inharmonious,12,2,0.693
inherent,8,5038,8.525
inherently,10,3810,8.245
inherit,7,1968,7.585
inheritance,11,3536,8.171
inherited,9,3474,8.153
inheriting,10,238,5.472
inherits,8,457,6.125
inhibit,7,1077,6.982
inhibited,9,417,6.033
inhibiting,10,242,5.489
inhibition,10,464,6.14
inhibitions,11,321,5.771
inhibitor,9,717,6.575
inhibitors,10,598,6.394
inhibitory,10,156,5.05
inhibits,8,417,6.033
inhomogeneous,13,37,3.611
inhospitable,12,127,4.844
inhuman,7,683,6.526
inhumane,8,499,6.213
inhumanities,12,11,2.398
inhumanity,10,186,5.226
inimitable,10,182,5.204
iniquity,8,271,5.602
initial,7,22660,10.028
initialed,9,37,3.611
initially,9,8702,9.071
initials,8,1551,7.347
initiate,8,3109,8.042
initiated,9,4748,8.465
initiates,9,1903,7.551
initiating,10,995,6.903
initiation,10,2058,7.629
initiative,10,6090,8.714
initiator,9,383,5.948
inject,6,1057,6.963
injected,8,1395,7.241
injecting,9,628,6.443
injection,9,3031,8.017
injudicious,11,28,3.332
injunction,10,1395,7.241
injunctions,11,200,5.298
injure,6,1230,7.115
injured,7,5619,8.634
injuries,8,5043,8.526
injuring,8,487,6.188
injurious,9,225,5.416
injury,6,8073,8.996
injustice,9,2274,7.729
injustices,10,578,6.36
ink,3,5596,8.63
inkbottle,9,0,0
inkling,7,324,5.781
inkpad,6,0,0
inkpot,6,0,0
inks,4,593,6.385
inkstand,8,2,0.693
inkwell,7,36,3.584
inky,4,136,4.913
inlaid,6,96,4.564
inland,6,1118,7.019
inlay,5,175,5.165
inlet,5,771,6.648
inlets,6,99,4.595
inmate,6,1118,7.019
inmates,7,1595,7.375
inmost,6,77,4.344
inn,3,10053,9.216
innards,7,371,5.916
innate,6,1198,7.088
inner,5,11691,9.367
innermost,9,376,5.93
inning,6,413,6.023
innings,7,1935,7.568
innkeeper,9,189,5.242
innocence,9,2724,7.91
innocent,8,12203,9.409
innocently,10,664,6.498
innocents,9,856,6.752
innocuous,9,785,6.666
innovate,8,239,5.476
innovation,10,3404,8.133
innovations,11,1664,7.417
innovative,10,7346,8.902
innovator,9,349,5.855
innovators,10,229,5.434
inns,4,572,6.349
innuendo,8,682,6.525
innuendoes,10,49,3.892
innuendos,9,89,4.489
innumerable,11,736,6.601
inoculate,9,90,4.5
inoculation,11,98,4.585
inoculations,12,84,4.431
inoffensive,11,122,4.804
inoperable,10,159,5.069
inoperative,11,192,5.257
inopportune,11,156,5.05
inordinate,10,437,6.08
inordinately,12,147,4.99
inorganic,9,766,6.641
input,5,35427,10.475
inquest,7,337,5.82
inquietude,10,2,0.693
inquire,7,3137,8.051
inquired,8,993,6.901
inquirer,8,643,6.466
inquiries,9,7931,8.979
inquiring,9,1470,7.293
inquiry,7,5106,8.538
inquisition,11,2690,7.897
inquisitive,11,362,5.892
inquisitor,10,435,6.075
inroad,6,16,2.773
inroads,7,292,5.677
inrush,6,41,3.714
insane,6,6598,8.795
insanely,8,564,6.335
insanitary,10,3,1.099
insanity,8,2831,7.948
insatiable,10,517,6.248
inscribe,8,430,6.064
inscribed,9,855,6.751
inscription,11,861,6.758
inscriptions,12,509,6.232
inscrutability,14,5,1.609
inscrutable,11,153,5.03
insect,6,2539,7.84
insecticide,11,236,5.464
insecticides,12,209,5.342
insectivore,11,7,1.946
insects,7,2369,7.77
insecure,8,3775,8.236
insecurity,10,929,6.834
inseminate,10,42,3.738
insemination,12,264,5.576
insensible,10,68,4.22
insensitive,11,1270,7.147
insentient,10,48,3.871
inseparable,11,324,5.781
insert,6,35225,10.47
inserted,8,5104,8.538
insertion,9,2177,7.686
insertions,10,560,6.328
inserts,7,7008,8.855
inset,5,351,5.861
insets,6,59,4.078
inshore,7,87,4.466
inside,6,63772,11.063
insider,7,1294,7.165
insiders,8,948,6.854
insides,7,978,6.886
insidious,9,833,6.725
insight,7,7742,8.954
insights,8,3240,8.083
insignia,8,1148,7.046
insignificance,14,168,5.124
insignificant,13,2403,7.784
insincere,9,270,5.598
insincerity,11,73,4.29
insinuate,9,299,5.7
insinuated,10,235,5.46
insinuates,10,62,4.127
insinuating,11,253,5.533
insinuation,11,247,5.509
insinuations,12,179,5.187
insipid,7,408,6.011
insist,6,8280,9.022
insisted,8,3774,8.236
insistence,10,1091,6.995
insistent,9,497,6.209
insisting,9,1830,7.512
insists,7,3138,8.051
insofar,7,1090,6.994
insole,6,91,4.511
insolence,9,101,4.615
insolent,8,118,4.771
insolently,10,18,2.89
insoluble,9,217,5.38
insolvable,10,5,1.609
insolvent,9,155,5.043
insomnia,8,677,6.518
insomniac,9,878,6.778
insomniacs,10,46,3.829
inspect,7,1588,7.37
inspected,9,948,6.854
inspecting,10,359,5.883
inspection,10,3864,8.259
inspections,11,787,6.668
inspector,9,2731,7.912
inspector's,11,33,3.497
inspiration,11,3167,8.061
inspirational,13,584,6.37
inspirations,12,144,4.97
inspire,7,1440,7.272
inspired,8,5866,8.677
inspires,8,472,6.157
inspiring,9,1246,7.128
instability,11,1320,7.185
install,7,49667,10.813
installation,12,26399,10.181
installations,13,3047,8.022
installed,9,50303,10.826
installing,10,14022,9.548
installment,11,918,6.822
installments,12,279,5.631
instance,8,26887,10.199
instances,9,6339,8.754
instancy,8,1,0
instant,7,9552,9.165
instantaneous,13,1270,7.147
instantly,9,5293,8.574
instate,7,20,2.996
instead,7,106318,11.574
instep,6,173,5.153
instigate,9,266,5.583
instigating,11,119,4.779
instigation,11,135,4.905
instigator,10,187,5.231
instil,6,50,3.912
instillation,12,13,2.565
instinct,8,3300,8.102
instinctive,11,471,6.155
instinctively,13,878,6.778
instincts,9,1423,7.261
instinctual,11,179,5.187
institute,9,42802,10.664
instituted,10,1183,7.076
institutes,10,1787,7.488
institute's,11,366,5.903
instituting,11,204,5.318
institution,11,8987,9.104
institutional,13,2545,7.842
institutionalization,20,89,4.489
institutionalize,16,108,4.682
institutionalized,17,598,6.394
institutions,12,12020,9.394
institution's,13,113,4.727
instruct,8,1199,7.089
instructed,10,2691,7.898
instructing,11,488,6.19
instruction,11,14183,9.56
instructional,13,2092,7.646
instructions,12,35273,10.471
instructive,11,672,6.51
instructor,10,7586,8.934
instructors,11,2942,7.987
instructor's,12,236,5.464
instructs,9,476,6.165
instrument,10,10141,9.224
instrumental,12,3413,8.135
instrumentalists,16,174,5.159
instrumentalities,17,26,3.258
instrumentally,14,52,3.951
instrumentals,13,289,5.666
instrumentation,15,2048,7.625
instruments,11,13592,9.517
insubordinate,13,48,3.871
insubordination,15,78,4.357
insubstantial,13,80,4.382
insufferable,12,139,4.934
insufficient,12,2587,7.858
insufficiently,14,326,5.787
insular,7,229,5.434
insulate,8,343,5.838
insulated,9,934,6.839
insulating,10,361,5.889
insulation,10,1442,7.274
insulator,9,229,5.434
insulators,10,106,4.663
insulin,7,3621,8.195
insult,6,7102,8.868
insulted,8,1932,7.566
insulting,9,4334,8.374
insults,7,3933,8.277
insupportable,13,54,3.989
insurance,9,26430,10.182
insure,6,4590,8.432
insured,7,2596,7.862
insures,7,435,6.075
insurgence,10,23,3.135
insurgent,9,103,4.635
insurgents,10,197,5.283
insuring,8,519,6.252
insurmountable,14,300,5.704
insurrection,12,368,5.908
insurrections,13,171,5.142
intact,6,6411,8.766
intactible,10,0,0
intake,6,3755,8.231
intangible,10,641,6.463
intangibles,11,156,5.05
integer,7,9632,9.173
integers,8,2434,7.797
integral,8,4192,8.341
integrals,9,297,5.694
integrate,9,3802,8.243
integrated,10,14299,9.568
integrates,10,864,6.762
integrating,11,2053,7.627
integration,11,13383,9.502
integrative,11,193,5.263
integrity,9,8777,9.08
intellect,9,2583,7.857
intellectual,12,10969,9.303
intellectuality,15,15,2.708
intellectually,14,1876,7.537
intellectuals,13,1692,7.434
intelligence,12,26776,10.195
intelligent,11,20769,9.941
intelligently,13,1184,7.077
intelligible,12,385,5.953
intemperance,12,73,4.29
intemperate,11,132,4.883
intend,6,11108,9.315
intended,8,32601,10.392
intending,9,1345,7.204
intends,7,2321,7.75
intense,7,8280,9.022
intensely,9,1442,7.274
intensification,15,169,5.13
intensified,11,627,6.441
intensifier,11,33,3.497
intensifiers,12,9,2.197
intensify,9,442,6.091
intensifying,12,168,5.124
intensities,11,231,5.442
intensity,9,4672,8.449
intensive,9,4488,8.409
intensively,11,245,5.501
intent,6,13020,9.474
intention,9,8686,9.069
intentional,11,2561,7.848
intentionally,13,4110,8.321
intentioned,11,244,5.497
intentions,10,5311,8.578
intently,8,637,6.457
inter,5,2493,7.821
interact,8,4991,8.515
interacting,11,1539,7.339
interaction,11,8854,9.089
interactions,12,3207,8.073
interactive,11,20998,9.952
interacts,9,601,6.399
interbreed,10,117,4.762
intercede,9,170,5.136
intercept,9,1805,7.498
intercepted,11,610,6.413
interception,12,836,6.729
interceptor,11,718,6.576
intercepts,10,284,5.649
intercession,12,122,4.804
interchange,11,2066,7.633
interchangeable,15,796,6.68
interchanges,12,96,4.564
intercollegiate,15,166,5.112
intercom,8,868,6.766
intercommunicate,16,3,1.099
intercommunication,18,18,2.89
interconnected,14,502,6.219
interconnectedness,18,91,4.511
intercontinental,16,337,5.82
intercourse,11,2877,7.965
interdenominational,19,24,3.178
interdepartmental,17,67,4.205
interdependence,15,115,4.745
interdependent,14,191,5.252
interdict,9,33,3.497
interdiction,12,218,5.384
interdisciplinary,17,1270,7.147
interest,8,90246,11.41
interested,10,178173,12.091
interesting,11,83904,11.337
interestingly,13,3037,8.019
interests,9,24350,10.1
interface,9,57923,10.967
interfaces,10,11208,9.324
interfacial,11,66,4.19
interfaith,10,336,5.817
interfere,9,4189,8.34
interfered,10,519,6.252
interference,12,5214,8.559
interferes,10,805,6.691
interfering,11,1374,7.225
interglacial,12,41,3.714
intergovernmental,17,370,5.914
interim,7,2071,7.636
interior,8,7186,8.88
interiors,9,427,6.057
interject,9,361,5.889
interjected,11,163,5.094
interjection,12,85,4.443
interlace,9,521,6.256
interlaced,10,1592,7.373
interlacing,11,175,5.165
interlayer,10,10,2.303
interlinear,11,26,3.258
interlining,11,5,1.609
interlink,9,326,5.787
interlobular,12,0,0
interlock,9,190,5.247
interlocking,12,308,5.73
interlocutor,12,77,4.344
interlope,9,2,0.693
interlude,9,293,5.68
interludes,10,190,5.247
intermarriage,13,1214,7.102
intermarry,10,110,4.7
intermediary,12,532,6.277
intermediate,12,5586,8.628
intermediates,13,340,5.829
interment,9,44,3.784
intermeshed,11,3,1.099
interminable,12,291,5.673
intermingle,11,35,3.555
intermission,12,350,5.858
intermissions,13,61,4.111
intermittent,12,1186,7.078
intermix,8,147,4.99
intermolecular,14,32,3.466
intern,6,1512,7.321
internal,8,38828,10.567
internalization,15,39,3.664
internalize,11,105,4.654
internalized,12,284,5.649
internally,10,3511,8.164
international,13,105052,11.562
internationalism,16,135,4.905
internationalist,16,312,5.743
internationalists,17,119,4.779
internationalize,16,31,3.434
internationalized,17,101,4.615
internationally,15,3208,8.073
interned,8,176,5.17
interns,7,388,5.961
interpenetrate,14,10,2.303
interpersonal,13,3686,8.212
interplanetary,14,457,6.125
interplay,9,1634,7.399
Interpol,8,627,6.441
interpolate,11,274,5.613
interpolated,12,238,5.472
interpolation,13,727,6.589
interpolations,14,69,4.234
interpose,9,44,3.784
interposed,10,48,3.871
interposing,11,17,2.833
interposition,13,17,2.833
interpret,9,6229,8.737
interpretable,13,43,3.761
interpretation,14,14329,9.57
interpretations,15,3527,8.168
interpretative,14,104,4.644
interpreted,11,5804,8.666
interpreter,11,4345,8.377
interpreting,12,1848,7.522
interpretive,12,397,5.984
interprets,10,783,6.663
interracial,11,830,6.721
interred,8,82,4.407
interrelate,11,80,4.382
interrelated,12,305,5.72
interrelation,13,17,2.833
interrelations,14,33,3.497
interrelationship,17,64,4.159
interrelationships,18,113,4.727
interrogate,11,230,5.438
interrogation,13,891,6.792
interrogatives,14,5,1.609
interrogator,12,66,4.19
interrupt,9,15428,9.644
interrupted,11,2412,7.788
interruption,12,794,6.677
interruptions,13,377,5.932
intersect,9,500,6.215
intersecting,12,211,5.352
intersection,12,2815,7.943
intersections,13,694,6.542
interspecies,12,79,4.369
intersperse,11,52,3.951
interspersed,12,457,6.125
interstate,10,4614,8.437
interstellar,12,1318,7.184
interstices,11,19,2.944
interstitial,12,66,4.19
intertribal,11,32,3.466
intertwine,10,50,3.912
intertwined,11,497,6.209
interval,8,3861,8.259
intervals,9,3330,8.111
intervene,9,1344,7.203
intervened,10,523,6.26
intervenes,10,169,5.13
intervening,11,938,6.844
intervention,12,6951,8.847
interview,9,20464,9.926
interviewed,11,3415,8.136
interviewee,11,117,4.762
interviewees,12,124,4.82
interviewer,11,714,6.571
interviewers,12,162,5.088
interviewing,12,1897,7.548
interviews,10,9040,9.109
interweave,10,87,4.466
interweaving,12,48,3.871
interwoven,10,145,4.977
intestine,9,680,6.522
intestines,10,563,6.333
intimacy,8,1395,7.241
intimate,8,3281,8.096
intimated,9,146,4.984
intimately,10,971,6.878
intimating,10,49,3.892
intimations,11,51,3.932
intimidate,10,1152,7.049
intimidated,11,1200,7.09
intimidation,12,1279,7.154
into,4,563310,13.242
intolerable,11,675,6.515
intolerance,11,2159,7.677
intolerant,10,1380,7.23
intonation,10,545,6.301
intonations,11,38,3.638
intone,6,36,3.584
intoned,7,124,4.82
intoxicant,10,48,3.871
intoxicate,10,21,3.045
intoxicated,11,496,6.207
intoxicating,12,264,5.576
intoxication,12,459,6.129
intractable,11,315,5.753
intradepartmental,17,0,0
intramural,10,137,4.92
intramuscularly,15,11,2.398
intransigent,12,65,4.174
intransitive,12,29,3.367
intrapulmonary,14,2,0.693
intravenous,11,416,6.031
intrepid,8,893,6.795
intricacy,9,39,3.664
intricate,9,1017,6.925
intricately,11,192,5.257
intrigue,8,747,6.616
intrigued,9,1430,7.265
intrigues,9,272,5.606
intriguing,10,1974,7.588
intriguingly,12,26,3.258
intrinsic,9,1774,7.481
intrinsically,13,713,6.569
intro,5,5868,8.677
introduce,9,8575,9.057
introduced,10,15526,9.65
introduces,10,2804,7.939
introducing,11,4219,8.347
introduction,12,19554,9.881
introductions,13,985,6.893
introductory,12,4711,8.458
introject,9,2,0.693
introjected,11,1,0
introjects,10,0,0
introspect,10,70,4.248
introspection,13,290,5.67
introspective,13,261,5.565
introversion,12,24,3.178
introvert,9,83,4.419
introverted,11,204,5.318
intrude,7,356,5.875
intruded,8,119,4.779
intruder,8,1455,7.283
intruders,9,555,6.319
intrudes,8,60,4.094
intruding,9,237,5.468
intrusion,9,1424,7.261
intrusions,10,237,5.468
intrusive,9,775,6.653
intuit,6,999,6.907
intuition,9,1823,7.508
intuitions,10,217,5.38
intuitive,9,3063,8.027
intuitively,11,597,6.392
inundate,8,88,4.477
inundated,9,489,6.192
inundating,10,34,3.526
inundation,10,41,3.714
inundations,11,10,2.303
inure,5,21,3.045
inured,6,48,3.871
invade,6,1855,7.526
invaded,7,2329,7.753
invader,7,372,5.919
invaders,8,2154,7.675
invades,7,299,5.7
invading,8,1303,7.172
invalid,7,6474,8.776
invalidate,10,1020,6.928
invalidated,11,469,6.151
invalidation,12,153,5.03
invalidism,10,13,2.565
invalidity,10,57,4.043
invalids,8,35,3.555
invaluable,10,2011,7.606
invariable,10,101,4.615
invariably,10,2207,7.699
invariant,9,474,6.161
invasion,8,7087,8.866
invasions,9,651,6.479
invasive,8,542,6.295
invent,6,2565,7.85
invented,8,7464,8.918
inventing,9,818,6.707
invention,9,3979,8.289
inventions,10,1720,7.45
inventive,9,543,6.297
inventor,8,3720,8.221
inventories,11,519,6.252
inventors,9,887,6.788
inventory,9,7008,8.855
inverse,7,1936,7.568
inversely,9,437,6.08
inversion,9,778,6.657
invert,6,538,6.288
invertebrate,12,173,5.153
inverted,8,1755,7.47
invest,6,7965,8.983
invested,8,3550,8.175
investigate,11,10814,9.289
investigated,12,2874,7.963
investigates,12,440,6.087
investigating,13,3983,8.29
investigation,13,12801,9.457
investigations,14,2970,7.996
investigative,13,1846,7.521
investigator,12,2024,7.613
investigators,13,2681,7.894
investing,9,3596,8.188
investment,10,23614,10.07
investments,11,5275,8.571
investor,8,3333,8.112
investors,9,7034,8.859
invests,7,322,5.775
invigorate,10,112,4.718
invigorating,12,119,4.779
invigoration,12,2,0.693
invincible,10,929,6.834
inviolability,13,44,3.784
inviolable,10,78,4.357
inviolate,9,74,4.304
invisible,9,7180,8.879
invisibly,9,152,5.024
invitation,10,3935,8.278
invitational,12,477,6.168
invitations,11,1475,7.296
invite,6,6452,8.772
invited,7,12492,9.433
invitees,8,122,4.804
invites,7,2002,7.602
inviting,8,1794,7.492
invocation,10,924,6.829
invoice,7,1529,7.332
invoices,8,653,6.482
invoke,6,4729,8.461
invoked,7,2059,7.63
invoking,8,1127,7.027
involuntarily,13,574,6.353
involuntary,11,1465,7.29
involution,10,25,3.219
involutions,11,0,0
involve,7,10020,9.212
involved,8,59463,10.993
involvement,11,7324,8.899
involvements,12,108,4.682
involves,8,11845,9.38
involving,9,11194,9.323
invulnerability,15,367,5.905
invulnerable,12,537,6.286
inward,6,1231,7.116
inwardly,8,273,5.609
inwardness,10,3,1.099
inwards,7,278,5.628
Io,2,4921,8.501
iodide,6,102,4.625
iodine,6,1055,6.961
iodize,6,1,0
ion,3,3088,8.035
ionize,6,31,3.434
ionized,7,167,5.118
ionizing,8,188,5.236
ionosphere,10,473,6.159
ions,4,1201,7.091
iota,4,713,6.569
Iowa,4,11455,9.346
Iran,4,8076,8.997
Iranian,7,3423,8.138
Iraq,4,4464,8.404
Iraqi,5,1763,7.475
irascible,9,28,3.332
irate,5,477,6.168
ire,3,636,6.455
Ireland,7,11571,9.356
Ireland's,9,192,5.257
Irene,5,1037,6.944
iridescence,11,17,2.833
iridescent,10,122,4.804
iridium,7,454,6.118
iris,4,4494,8.41
Irish,5,11181,9.322
Irishman,8,256,5.545
Irishmen,8,94,4.543
Irishwoman,10,3,1.099
irk,3,102,4.625
irksome,7,118,4.771
iron,4,19187,9.862
ironclad,8,138,4.927
ironed,6,284,5.649
ironic,6,3165,8.06
ironical,8,67,4.205
ironically,10,2169,7.682
ironies,7,168,5.124
ironing,7,277,5.624
irons,5,2341,7.758
ironside,8,154,5.037
ironware,8,1,0
ironwork,8,13,2.565
irony,5,3059,8.026
Iroquois,8,240,5.481
irradiate,9,33,3.497
irradiated,10,153,5.03
irradiation,11,197,5.283
irrational,10,2907,7.975
irrationality,13,461,6.133
irrationally,12,223,5.407
irreconcilable,14,224,5.412
irrecoverable,13,30,3.401
irredeemable,12,32,3.466
irredeemably,12,29,3.367
irredentism,11,21,3.045
irreducible,11,154,5.037
irrefutable,11,574,6.353
irregular,9,2127,7.662
irregularities,14,741,6.608
irregularity,12,147,4.99
irregularly,11,324,5.781
irregulars,10,205,5.323
irrelevance,11,213,5.361
irrelevant,10,11614,9.36
irreligious,11,45,3.807
irremediable,12,32,3.466
irremovable,11,6,1.792
irreparable,11,298,5.697
irreparably,11,109,4.691
irreplaceable,13,304,5.717
irrepressible,13,54,3.989
irreproachable,14,9,2.197
irresistible,12,635,6.454
irresistibly,12,37,3.611
irresolute,10,13,2.565
